Last Name,First Name,Student ID,Midterm 1,Midterm 2,Final
Adams,Alison,4191252,36,37,67
Adams,Sharon,4417359,27,38,79
Byers,Steve,4305741,44,36,80
Charles,Connor,4561485,35,27,85
Dearborn,Mark,4689418,40,42,95
Doe,Jane,4099481,50,21,67
Doe,John,4675085,31,34,72
Douglas,Theresa,4394287,40,40,93
English,Richard,4284909,30,41,85
Evans,Dave,4787519,23,42,68
Fister,Robyn,4546985,32,26,76
Fortman,Cindy,4885984,36,37,83
Funk,Lois,4943316,36,39,71
Gage,Dan,4271204,29,35,87
Gantz,Elliot,4964079,32,35,88
Hartman,Henry,4664097,40,46,88
Hibble,Smith,4975169,37,37,73
Hill,Darius,4832783,40,35,64
Horstman,Darlene,4065911,41,48,76
Hunt,Cynthia,4746470,36,37,86
Ivers,Carson,4883769,24,46,66
Jackson,Darwan,4675492,33,36,48
Jacobs,Jeff,4854517,32,28,81
Jacobs,Shirley,4573355,24,45,64
Johnson,Eliot,4439044,39,36,72
Jones,Bobby,4621367,43,39,81
Keller,Sheila,4331477,22,41,67
Klopman,Frank,4067158,36,40,69
Lark,Fiona,4530096,30,30,63
Li,Susan,4928866,28,33,91
Liang,Douglas,4386226,45,48,65
Lister,Star,4930733,27,36,63
Lu,Cindy,4533050,27,46,71
Manley,Michael,4127203,36,25,78
Mannington,Sal,4986210,35,42,69
Marley,Hope,4176837,38,33,87
Mills,Justin,4860646,34,35,61
Nintzel,Scott,4462208,28,29,94
Nolan,Tom,4814058,34,40,69
Novacs,Andrea,4735434,39,44,97
Owens,Dianne,4539182,40,40,92
Peters,Debra,4177372,35,32,70
Philipsek,Jake,4033246,37,42,86
Phillips,Elaine,4999544,29,41,67
Redding,Rachel,4983863,44,31,83
Rodman,Kellen,4041806,37,24,90
Royalston,Barbara,4166618,36,34,82
Russman,Carter,4446629,41,22,79
Sinclair,James,4654044,31,42,67
Smith,Katherine,4124619,33,32,85
Smith,Susan,4245615,28,30,77
Smithers,Jane,4481687,34,36,81
Stevens,William,4952470,45,36,68
Stockman,Melissa,4706221,35,27,72
Tandy,Quinlan,4540047,44,27,69
Thomas,Taylor,4463697,34,31,74
Thomas,Victoria,4739412,34,47,92
Urban,George,4512444,41,36,71
Valiant,Charles,4128980,36,27,74
Victor,Candy,4667092,39,32,77
Vittari,Helen,4715176,35,31,68
Wasserman,Bob,4422274,33,41,71
West,Carla,4032984,38,38,68
Young,Carmen,4146025,28,39,58
Zhang,Thomas,4652505,46,40,72
Zimbalist,Efram,4056292,40,25,74
